mgrname,mgrno,rdate,prdate,cusip,shares,no,change,stkname,ticker,indcode,prc,shrout1
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00282410,8537,,,ABBOTT LABS,ABT,,36.63,60
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00814010,19650,,,AETNA LIFE & CAS CO,AET,,32.63,81
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00826110,434550,,,AFFILIATED PUBNS INC,AFP,,16.38,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02355110,7300,,-120610,AMERADA HESS CORP,AHC,,43.50,35
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02473510,246450,,,AMERICAN BROADCASTING COS,ABC,,32.00,28
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02660910,11365,,-2400,AMERICAN HOME PRODS CORP,AHP,,24.63,156
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,03017710,68783,,-324,AMERICAN TEL & TELEG CO,T,,48.63,693
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,03948310,9508,,9508,ARCHER DANIELS MIDLAND CO,ADM,,28.63,35
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,04882510,11435,,-1300,ATLANTIC RICHFIELD CO,ARC,,85.13,115
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,07272310,33480,,,BAYBANKS INC,BBNK,,26.38,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,09179710,12367,,1690,BLACK & DECKER MFG CO,BDK,,19.00,42
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,09532910,3086303,,,BLUE CHIP STAMPS,BLUE,,17.00,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,13078910,153049,,,CALIFORNIA WTR SVC CO,CWTR,,28.75,1
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,14912310,15328,,-370,CATERPILLAR TRACTOR CO,CAT,,47.63,86
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,15242010,28179,,0,CENTRAL BANCORPORATION INC,CBAN,,19.13,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,15389910,10274,,-100,CENTRAL LA ENERGY CORP,CEL,,44.88,10
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,17856610,69457,,,CITY NATL CORP,CTYN,,24.00,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,18146810,117816,,62,CLARK J L MFG CO,CLRK,,27.25,4
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,18600010,873300,,,CLEVELAND CLIFFS IRON CO,CLF,,27.50,12
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,19416210,28293,,50,COLGATE PALMOLIVE CO,CL,,11.63,82
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,20279510,76530,,1668,COMMONWEALTH EDISON CO,CWE,,18.38,96
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,20923710,67400,,,CONSOLIDATED FREIGHTWAYS INC,CNF,,19.25,13
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,21209310,27600,,,CONTINENTAL TEL CORP,CTC,,13.75,51
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,21932710,8870,,,CORNING GLASS WKS,GLW,,50.00,18
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26054310,19902,,-100,DOW CHEM CO,DOW,,31.25,181
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26123810,10500,,,DOYLE DANE BERNBACH INTL INC,DOYL,,22.88,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26159710,8500,,,DRESSER INDS INC,DI,,52.63,39
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,27746110,10230,,-2230,EASTMAN KODAK CO,EK,,47.50,161
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,27902910,17304,,-800,ECONOMICS LAB INC,ECON,,17.50,13
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,30058710,10440,,-21,EX CELL O CORP,XLO,,32.38,10
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,30229010,56763,,-715,EXXON CORP,XON,,57.88,453
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,30518910,13063,,,FAIRMONT FOODS CO,FMF,,12.88,4
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,34537010,9134,,125,FORD MTR CO DEL,F,,29.13,121
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,36158210,5795614,,65500,GEICO CORP,GCOR,,8.56,15
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,36960410,19975,,-65,GENERAL ELEC CO,GE,,48.13,226
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,36985610,1130700,,370400,GENERAL FOODS CORP,GF,,26.00,50
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,37044210,24521,,-737,GENERAL MTRS CORP,GM,,46.13,287
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,37102810,9017,,-250,GENERAL TEL & ELECTRS CORP,GTE,,25.00,145
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,38255010,10469,,-53,GOODYEAR TIRE & RUBR CO,GT,,11.75,72
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,41030610,1007500,,,HANDY & HARMAN,HNH,,27.25,7
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,42814610,14174,,,HESSTON CORP,HES,,7.00,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,43157310,11883,,165,HILLENBRAND INDS INC,HB,,28.13,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,43850610,12096,,125,HONEYWELL INC,HON,,72.88,22
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,44926810,27258,,-292,IC INDS INC,ICX,,19.75,16
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,45920010,24381,,555,INTERNATIONAL BUSINESS MACHS,IBM,,55.75,583
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,46069010,711180,,,INTERPUBLIC GROUP COS INC,IPG,,28.25,4
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,48300810,1211834,,,KAISER ALUM & CHEM CORP,KLU,,19.00,41
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,49342210,14990,,200,KEYSTONE CONS INDS INC,KES,,8.00,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,49904010,122800,,,KNIGHT RIDDER NEWSPAPERS INC,KRN,,19.13,32
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,56500410,164205,,,MANUFACTURERS NATL CORP,MNTL,,19.38,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,56823610,78707,,,MARINE CORP,MCRP,,19.50,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,58440410,282500,,,MEDIA GEN INC,MEG,,23.00,7
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,60405910,8598,,2100,MINNESOTA MNG & MFG CO,MMM,,49.75,117
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,60705910,19012,,1500,MOBIL CORP,MOB,,65.75,212
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,62545510,94893,,,MULTIMEDIA INC,MMED,,17.13,10
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,62915610,5700,,5700,NL INDS INC,NL,,36.50,33
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,63563210,414360,,,NATIONAL DETROIT CORP,NBD,,23.50,12
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,63765710,231800,,8600,NATIONAL SVC INDS INC,NAS,,16.75,13
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,63789510,633500,,336700,NATL STUDENT MARKETING DEL,NSTM,,5.63,9
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,64413410,40457,,,NEW ENGLAND MERCHANTS INC,NEBK,,19.75,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,65408610,14143,,-400,NICOR INC,GAS,,27.88,18
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,66405810,47166,,0,NORTHEAST BANCORP INC,NBIC,,18.25,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,67660110,391400,,,OGILVY & MATHER INTL INC,OGIL,,21.63,4
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,68169710,79574,,,OMAHA NATL CORP,OMAH,,19.50,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,69032610,68400,,,OVERNITE TRANSN CO,OVT,,19.00,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,71708110,16786,,,PFIZER INC,PFE,,37.75,73
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,71952210,29746,,-5000,PIC N SAVE CORP,PICN,,19.13,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,72342710,607396,,,PINKERTONS INC,PINK,,31.25,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,72519710,261500,,,PITTSBURGH NATL CORP,PITS,,34.63,6
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,73742410,10400,,,POST CORP,POS,,14.94,2
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,73767910,20149,,-2875,POTOMAC ELEC PWR CO,POM,,10.50,41
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,76140610,92100,,-41200,REVERE COPPER & BRASS INC,RVB,,12.00,6
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,76168810,22456,,,REXNORD INC,REX,,16.38,20
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,76175310,250000,,,REYNOLDS R J INDS INC,RJR,,31.13,101
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,76176310,17200,,,REYNOLDS METALS CO,RLM,,30.75,19
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,77669510,25576,,,ROPER INDS INC,ROPE,,14.00,1
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,78642910,1481072,,11000,SAFECO CORP,SAFC,,33.63,20
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,81238710,15497,,650,SEARS ROEBUCK & CO,S,,16.25,318
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,81482310,13159,,-740,SECURITY PAC CORP,SPC,,24.50,28
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,84835510,10457,,990,SPERRY CORP,SY,,46.25,36
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,85224510,10018,,10018,SQUIBB CORP,SQB,,31.88,47
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,85368310,12191,,-1430,STANDARD OIL CO CALIF,SD,,65.50,171
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,85370010,14919,,1500,STANDARD OIL CO IND,SN,,101.00,151
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,86676210,12415,,-600,SUN INC,SUN,,68.75,59
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,86732310,9617,,313,SUNDSTRAND CORP,SNS,,37.63,16
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,88037010,10501,,-418,TENNECO INC,TGT,,34.38,103
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,88169410,32221,,-71,TEXACO INC,TX,,33.25,271
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,88320310,8759,,,TEXTRON INC,TXT,,25.25,33
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,88475310,48700,,-75500,THOMPSON J WALTER CO,JWT,,28.25,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,88736010,314800,,,TIMES MIRROR CO,TMC,,30.50,34
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,90781810,8980,,200,UNION PAC CORP,UNP,,83.88,48
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,92628610,67377,,,VICTORIA STA INC,VSTA,,10.63,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,93448810,12168,,390,WARNER LAMBERT CO,WLA,,18.88,80
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,93964010,1874200,,,WASHINGTON POST CO,WPO,,16.88,15
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,95081710,5703087,,5703087,WESCO FINL CORP,WSC,,6.75,7
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,98088110,920400,,92200,WOOLWORTH F W CO,Z,,22.13,29
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,00282410,8645,,108,ABBOTT LABS,ABT,,42.13,60
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,00814010,19650,,,AETNA LIFE & CAS CO,AET,,37.75,81
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,00826110,434550,,,AFFILIATED PUBNS INC,AFP,,19.00,5
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,01908710,9641,,9641,ALLIED CHEM CORP,ACD,,47.88,33
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,02355110,7500,,200,AMERADA HESS CORP,AHC,,53.00,37
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,02473510,171450,,-75000,AMERICAN BROADCASTING COS,ABC,,29.13,28
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,02660910,10465,,-900,AMERICAN HOME PRODS CORP,AHP,,28.50,156
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,03017710,68637,,-146,AMERICAN TEL & TELEG CO,T,,52.50,711
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,03090010,42897,,42897,AMERITRUST CORP,CLVT,,30.50,9
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,03948310,9601,,93,ARCHER DANIELS MIDLAND CO,ADM,,33.50,39
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,04217010,6850,,6850,ARMCO INC,AS,,26.75,45
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,04882510,24442,,13007,ATLANTIC RICHFIELD CO,ARC,,93.50,116
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,07189210,4935,,4935,BAXTER TRAVENOL LABS INC,BAX,,44.50,34
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,07272310,33480,,,BAYBANKS INC,BBNK,,34.63,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,09179710,12367,,,BLACK & DECKER MFG CO,BDK,,17.50,42
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,09532910,3086303,,,BLUE CHIP STAMPS,BLUE,,22.63,5
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,13078910,153049,,,CALIFORNIA WTR SVC CO,CWTR,,33.25,1
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,14912310,15028,,-300,CATERPILLAR TRACTOR CO,CAT,,52.75,86
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,15242010,28179,,,CENTRAL BANCORPORATION INC,CBAN,,22.63,5
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,15389910,23348,,2800,CENTRAL LA ENERGY CORP,CEL,,32.50,21
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,17856610,69457,,,CITY NATL CORP,CTYN,,31.75,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,18146810,118154,,338,CLARK J L MFG CO,CLRK,,27.75,4
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,18600010,873300,,,CLEVELAND CLIFFS IRON CO,CLF,,27.25,12
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,19416210,34523,,6230,COLGATE PALMOLIVE CO,CL,,14.00,82
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,20279510,75427,,-1103,COMMONWEALTH EDISON CO,CWE,,22.50,96
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,20825110,7140,,7140,CONOCO INC,CLL,,52.63,108
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,20923710,67400,,,CONSOLIDATED FREIGHTWAYS INC,CNF,,21.63,13
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,21209310,27600,,,CONTINENTAL TEL CORP,CTC,,15.00,53
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,21932710,9020,,150,CORNING GLASS WKS,GLW,,52.13,18
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,26054310,19902,,,DOW CHEM CO,DOW,,33.63,181
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,26123810,10500,,,DOYLE DANE BERNBACH INTL INC,DOYL,,27.38,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,26159710,8300,,-200,DRESSER INDS INC,DI,,62.13,39
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,27746110,12030,,1800,EASTMAN KODAK CO,EK,,56.00,161
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,27902910,17604,,300,ECONOMICS LAB INC,ECON,,22.38,13
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,29356710,9150,,9150,ENSERCH CORP,ENS,,34.00,33
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,29647010,7297,,7297,ESMARK INC,ESM,,48.00,22
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,30058710,10440,,,EX CELL O CORP,XLO,,32.38,10
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,30229010,56453,,-310,EXXON CORP,XON,,66.25,439
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,30518910,13063,,,FAIRMONT FOODS CO,FMF,,15.25,4
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,36158210,6514336,,718722,GEICO CORP,GCOR,,12.56,21
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,36960410,18875,,-1100,GENERAL ELEC CO,GE,,51.50,231
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,36985610,1298500,,167800,GENERAL FOODS CORP,GF,,30.63,50
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,37044210,22603,,-1918,GENERAL MTRS CORP,GM,,46.50,289
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,37102810,9232,,215,GENERAL TEL & ELECTRS CORP,GTE,,28.00,148
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,38255010,10469,,,GOODYEAR TIRE & RUBR CO,GT,,13.00,72
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,41030610,1007500,,,HANDY & HARMAN,HNH,,43.75,7
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,42814610,14174,,,HESSTON CORP,HES,,7.13,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,43157310,11883,,,HILLENBRAND INDS INC,HB,,31.88,5
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,43850610,11891,,-205,HONEYWELL INC,HON,,78.38,22
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,44926810,25563,,-1695,IC INDS INC,ICX,,24.88,16
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,45920010,24208,,-173,INTERNATIONAL BUSINESS MACHS,IBM,,58.75,584
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,46069010,711180,,,INTERPUBLIC GROUP COS INC,IPG,,30.50,4
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,46627210,73050,,,JWT GROUP INC,JWT,,21.75,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,48300810,1211834,,,KAISER ALUM & CHEM CORP,KLU,,20.00,41
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,49342210,14990,,,KEYSTONE CONS INDS INC,KES,,9.50,2
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,49904010,298400,,175600,KNIGHT RIDDER NEWSPAPERS INC,KRN,,23.00,32
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,56500410,164205,,,MANUFACTURERS NATL CORP,MNTL,,23.63,5
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,56823610,78707,,,MARINE CORP,MCRP,,24.75,2
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,58440410,282500,,,MEDIA GEN INC,MEG,,28.75,7
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,60405910,9018,,420,MINNESOTA MNG & MFG CO,MMM,,53.13,117
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,60705910,16812,,-2200,MOBIL CORP,MOB,,71.25,212
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,62915610,5700,,,NL INDS INC,NL,,47.63,33
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,63563210,414360,,,NATIONAL DETROIT CORP,NBD,,25.63,12
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,63765710,231800,,,NATIONAL SVC INDS INC,NAS,,19.00,13
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,63789510,857500,,224000,NATL STUDENT MARKETING DEL,NSTM,,6.00,9
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,65408610,14643,,500,NICOR INC,GAS,,33.25,18
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,66405810,47166,,,NORTHEAST BANCORP INC,NBIC,,22.75,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,67660110,391400,,,OGILVY & MATHER INTL INC,OGIL,,24.38,4
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,68169710,79574,,,OMAHA NATL CORP,OMAH,,21.50,2
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,69032610,68400,,,OVERNITE TRANSN CO,OVT,,21.25,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,71708110,16786,,,PFIZER INC,PFE,,41.25,73
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,72342710,607396,,,PINKERTONS INC,PINK,,38.50,2
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,72519710,206500,,-55000,PITTSBURGH NATL CORP,PITS,,43.88,6
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,73742410,10400,,,POST CORP,POS,,17.50,2
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,73767910,20332,,183,POTOMAC ELEC PWR CO,POM,,13.50,42
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,76140610,92100,,,REVERE COPPER & BRASS INC,RVB,,12.25,6
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,76168810,22396,,-60,REXNORD INC,REX,,16.50,20
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,76175310,250000,,,REYNOLDS R J INDS INC,RJR,,38.88,102
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,76176310,17200,,,REYNOLDS METALS CO,RLM,,31.88,19
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,77669510,25576,,,ROPER INDS INC,ROPE,,17.25,1
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,78642910,1546572,,65500,SAFECO CORP,SAFC,,37.75,19
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,81238710,15889,,392,SEARS ROEBUCK & CO,S,,17.00,317
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,81482310,13599,,440,SECURITY PAC CORP,SPC,,30.13,28
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,84835510,10457,,,SPERRY CORP,SY,,47.50,36
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,85224510,10418,,400,SQUIBB CORP,SQB,,32.50,47
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,85368310,11969,,-222,STANDARD OIL CO CALIF,SD,,76.50,171
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,85370010,29348,,-490,STANDARD OIL CO IND,SN,,57.25,293
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,86676210,25142,,312,SUN INC,SUN,,38.25,119
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,86732310,9217,,-400,SUNDSTRAND CORP,SNS,,42.50,16
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,88037010,14197,,3696,TENNECO INC,TGT,,39.38,105
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,88169410,32648,,427,TEXACO INC,TX,,36.75,271
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,88320310,13044,,4285,TEXTRON INC,TXT,,24.88,33
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,88736010,314800,,,TIMES MIRROR CO,TMC,,32.50,34
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,90781810,14612,,-3348,UNION PAC CORP,UNP,,42.75,96
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,91182510,8948,,8948,UNITED STATES FID & GTY CO,FG,,42.88,28
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,92628610,66542,,-835,VICTORIA STA INC,VSTA,,8.38,3
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,93448810,12611,,443,WARNER LAMBERT CO,WLA,,18.50,80
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,93964010,1874200,,,WASHINGTON POST CO,WPO,,17.00,8
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,95081710,5703087,,,WESCO FINL CORP,WSC,,7.88,7
BERKSHIRE HATHAWAY INC,8350,06/30/1980,,98088110,820400,,-100000,WOOLWORTH F W CO,Z,,25.75,29
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,00282410,12310,,3665,ABBOTT LABS,ABT,,51.50,60
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,00814010,19200,,-450,AETNA LIFE & CAS CO,AET,,36.75,81
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,00826110,434550,,,AFFILIATED PUBNS INC,AFP,,26.75,5
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,01908710,16998,,7357,ALLIED CHEM CORP,ACD,,51.88,33
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,02355110,14800,,-200,AMERADA HESS CORP,AHC,,33.88,76
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,02473510,171450,,,AMERICAN BROADCASTING COS,ABC,,34.00,28
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,02660910,10265,,-200,AMERICAN HOME PRODS CORP,AHP,,29.25,156
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,03017710,68045,,-592,AMERICAN TEL & TELEG CO,T,,51.88,711
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,03090010,42897,,,AMERITRUST CORP,AMTR,,33.75,9
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,04217010,13450,,6600,ARMCO INC,AS,,32.00,45
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,04882510,24792,,-24092,ATLANTIC RICHFIELD CO,ARC,,52.38,234
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,07189210,5485,,550,BAXTER TRAVENOL LABS INC,BAX,,52.13,34
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,07272310,33480,,,BAYBANKS INC,BBNK,,34.63,3
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,09179710,14367,,2000,BLACK & DECKER MFG CO,BDK,,20.00,42
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,09532910,3086303,,,BLUE CHIP STAMPS,BLUE,,22.38,5
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,13078910,153049,,,CALIFORNIA WTR SVC CO,CWTR,,31.50,1
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,14912310,16128,,1100,CATERPILLAR TRACTOR CO,CAT,,55.88,86
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,15242010,28179,,,CENTRAL BANCORPORATION INC,CBAN,,21.50,5
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,15389910,26048,,2700,CENTRAL LA ENERGY CORP,CEL,,40.38,21
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,16549610,5290,,5290,CHESSIE SYS INC,CO,,40.25,20
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,17856610,64157,,-5300,CITY NATL CORP,CTYN,,40.00,3
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,18146810,117961,,-193,CLARK J L MFG CO,CLRK,,32.50,4
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,18600010,873300,,,CLEVELAND CLIFFS IRON CO,CLF,,31.00,12
BERKSHIRE HATHAWAY INC,8350,09/30/1980,,19416210,32023,,-2500,COLGATE PALMOLIVE CO,CL,,15.88,82
